INFO:__main__:Namespace(model_name_or_path='/data1/home/lmy/.cache/modelscope/hub/models/LLM-Research/Meta-Llama-3-8B-Instruct/', dataset='hotpotqa', data_path='data/hotpotqa', fewshot=8, sample=1000, shuffle=False, generate_max_length=128, query_formulation='real_words', retrieve_keep_top_k=35, output_dir='result/hotpotqa_online_alpha1_parallel/shard_4', retriever='BM25', es_index_name='wiki', retrieve_topk=3, hallucination_threshold=1.0, check_real_words=True, use_counter=True, thres_abs=False, online_detection=True, config_path='config_hotpotqa_online.json', run_dir='result/hotpotqa_online_alpha1_parallel', shard_index=4, num_shards=8)
INFO:data:Loading HotpotQA from data/hotpotqa
  0%|          | 0/7405 [00:00<?, ?it/s]100%|██████████| 7405/7405 [00:00<00:00, 1656735.54it/s]
Map:   0%|          | 0/7405 [00:00<?, ? examples/s]Map:  27%|██▋       | 2000/7405 [00:00<00:00, 16803.46 examples/s]Map:  54%|█████▍    | 4000/7405 [00:00<00:00, 17107.05 examples/s]Map:  81%|████████  | 6000/7405 [00:00<00:00, 16875.40 examples/s]Map: 100%|██████████| 7405/7405 [00:00<00:00, 17005.39 examples/s]
INFO:generate:Loading model from /data1/home/lmy/.cache/modelscope/hub/models/LLM-Research/Meta-Llama-3-8B-Instruct/
INFO:accelerate.utils.modeling:We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:11<00:34, 11.60s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:25<00:25, 12.88s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:30<00:09,  9.44s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:31<00:00,  5.94s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:31<00:00,  7.82s/it]
WARNING:accelerate.big_modeling:Some parameters are on the meta device because they were offloaded to the cpu.
INFO:generate:device = cuda:0
INFO:root:Activating Elasticsearch....
INFO:root:Elastic Search Credentials: {'hostname': 'localhost', 'index_name': 'wiki', 'keys': {'title': 'title', 'body': 'txt'}, 'timeout': 100, 'retry_on_timeout': True, 'maxsize': 24, 'number_of_shards': 1, 'language': 'english'}
INFO:__main__:start shard inference: 4/8, 125 samples
  0%|          | 0/125 [00:00<?, ?it/s]`torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True`. Falling back to eager attention. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
Current sentence length: 2
Current sentence length: 3
Current sentence length: 4
Current sentence length: 5
Current sentence length: 6
Current sentence length: 7
Current sentence length: 7
Current sentence length: 8
Current sentence length: 9
Current sentence length: 10
Current sentence length: 11
Current sentence length: 12
Current sentence length: 12
Current sentence length: 13
Current sentence length: 13
Current sentence length: 13
Current sentence length: 14
Current sentence length: 14
Current sentence length: 1
Current sentence length: 14
Current sentence length: 1
Current sentence length: 14
Current sentence length: 2
Current sentence length: 14
Current sentence length: 2
Current sentence length: 14
Current sentence length: 2
Current sentence length: 14
Current sentence length: 3
Current sentence length: 14
Current sentence length: 4
Current sentence length: 14
Current sentence length: 5
Current sentence length: 14
Current sentence length: 6
Current sentence length: 14
Current sentence length: 7
Current sentence length: 14
Current sentence length: 8
Current sentence length: 14
Current sentence length: 9
Current sentence length: 14
Current sentence length: 10
Current sentence length: 14
Current sentence length: 10
Current sentence length: 1
Current sentence length: 14
Current sentence length: 10
Current sentence length: 2
Current sentence length: 14
Current sentence length: 10
Current sentence length: 3
Current sentence length: 14
Current sentence length: 10
Current sentence length: 4
Current sentence length: 14
Current sentence length: 10
Current sentence length: 5
Current sentence length: 14
Current sentence length: 10
Current sentence length: 6
Current sentence length: 14
Current sentence length: 10
Current sentence length: 6
Current sentence length: 1
Current sentence length: 14
Current sentence length: 10
Current sentence length: 6
Current sentence length: 2
Current sentence length: 14
Current sentence length: 10
Current sentence length: 6
Current sentence length: 3
Current sentence length: 14
Current sentence length: 10
Current sentence length: 6
Current sentence length: 4
Current sentence length: 14
